"","time","Cc","CC_umol","eps_RdRp_Ros","eps_RdRp_Ros_unbound"
"1",0,0,0,0,0
"2",0.1,120959.141119454,367.310865505009,0.998872528451543,0.992124129096745
"3",0.2,481094.974145305,1460.91820517235,0.999716286393809,0.998008068023622
"4",0.3,991208.955941542,3009.95704941102,0.999862276141193,0.999032200173048
"5",0.4,1560081.6360139,4737.42563546174,0.99991249177275,0.99938488442607
"6",0.5,2118591.67308874,6433.42647684171,0.999935559490039,0.999546969734258
"7",0.6,2620687.59428007,7958.11725814604,0.99994790496446,0.999633733733322
"8",0.7,3039569.5485272,9230.11614748172,0.99995508383956,0.999684192811569
"9",0.8,3363080.285989,10212.5058030093,0.99995940436392,0.999714563140407
"10",0.9,3589440.32658681,10899.8825622873,0.999961964339703,0.999732558764646
"11",1,3723773.8148576,11307.8066710929,0.999963336408967,0.999742204101388
"12",1.1,3775395.8648426,11464.5648927837,0.999963837702435,0.999745728120962
"13",1.2,3755811.9763778,11405.0954309854,0.999963649148624,0.999744402612824
"14",1.3,3677287.90910136,11166.6451340723,0.999962872948666,0.999738946062392
"15",1.4,3551898.55569512,10785.8812538189,0.999961562337468,0.999729732810052
"16",1.5,3390913.12617597,10297.024463806,0.999959737562181,0.999716905361853
"17",1.6,3204438.89258789,9730.76703588681,0.999957394691055,0.999700436318901
"18",1.7,3001257.45465093,9113.77563587784,0.999954510495253,0.999680162712504
"19",1.8,2788784.63283262,8468.56953275827,0.999951044895881,0.999655803233572
"20",1.9,2573117.06927403,7813.66210948356,0.999946941908121,0.999626964908368
"21",2,2359130.70529134,7163.85990492649,0.999942129520621,0.999593142303484
"22",2.1,2150607.89562599,6530.6486156691,0.999936518758691,0.99955371101179
"23",2.2,1950377.09793391,5922.61728442475,0.999930002065143,0.999507916366633
"24",2.3,1760453.40466012,5345.88504649152,0.999922451035779,0.999454857653064
"25",2.4,1582172.88642395,4804.50908391469,0.999913713509876,0.999393467830781
"26",2.5,1416316.24642403,4300.86012093174,0.999903609969858,0.999322488463001
"27",2.6,1263219.46274412,3835.95840619513,0.999891929173902,0.999240439337753
"28",2.7,1122870.55811011,3409.76756888679,0.999878422917174,0.999145582079066
"29",2.8,994992.565227821,3021.44655560967,0.999862799785083,0.999035876829676
"30",2.9,879113.420124852,2669.56187217167,0.999844717732788,0.998908930897528
"31",3,774623.844113989,2352.2633509884,0.999823775285595,0.998761938001438
"32",3.1,680824.445050081,2067.42718122766,0.999799501101214,0.998591606403758
"33",3.2,596963.400159556,1812.77033846393,0.999771341581763,0.998394073885578
"34",3.3,522266.605138459,1585.94213700908,0.999738646427801,0.998164809008933
"35",3.4,455960.185633362,1384.5925894548,0.999700651373396,0.997898493602755
"36",3.5,397287.251078151,1206.42328225123,0.999656457585482,0.997588883232548
"37",3.6,345520.381365543,1049.22529338782,0.999605007391,0.997228643823319
